7447,Conduzir bicicleta de forma agressiva,255,Condutor,Média,MUNICIPAL/RODOV
5002,"Multa, por não identificação docondutor infrator, imposta à pessoa jurídica","257, § 8º",Proprietário,Sem categoria,ESTAD/MUNIC/RODOV
7765,Fugir o condutor à ação policial,"278,§único c/c 210",Condutor,Gravíssima,ESTAD/MUNIC/RODOV
7544,Falta de escrituração livro registro entrada/saída e de uso placa deexperiência,"330, § 5º",PF ou PJ,Gravíssima,ESTADUAL
7544,Atraso escrituração livro registroentrada/saída e de uso placa de experiência,"330, § 5º",PF ou PJ,Gravíssima,ESTADUAL
7544,Fraude escrituração livro registro entrada/saída e de uso placa deexperiência,"330, § 5º",PF ou PJ,Gravíssima,ESTADUAL
7544,Recusa da exibição do livro registro entrada/saída e de uso placa deexperiência,"330, § 5º",PF ou PJ,Gravíssima,ESTADUAL
5169,Dirigir sob a influência de qquersubstância psicoativa que deter. dependência,165,Condutor,Gravíssima,ESTADUAL/RODOV
7579,"Rec sub test, ex clín, períc ou proc qperm cert infl álc/sub psic for art. 277",165-A,Condutor,Gravíssima,ESTADUAL/RODOV
7641,"Cond veíc exig hab C, D ou E semrealizar ex toxic prev no§ 2º do art 148-A, após 30 dias do venc",165-B,Condutor,Gravíssima,ESTADUAL/RODOV
7650,"Exerc at rem veíc e não compra real ex toxic per ex p § 2º do art 148-A por ocren hab C, D ou E","165-B, §único",Condutor,Gravíssima,ESTADUAL
5177,Confiar/entregar veíc pess c/ estadofísico/psíquicos/ condições dirigir segur,166,Proprietário,Gravíssima,ESTADUAL/RODOV
5185,Deixar o condutor de usar o cinto segurança,167,Condutor,Grave,ESTAD/MUNIC/RODOV
5185,Deixar o passageiro de usar o cintosegurança,167,Condutor,Grave,ESTAD/MUNIC/RODOV
5193,Transportar criança sem observância das normas de segurança estabelecidasp/CTB,168,Condutor,Gravíssima,ESTAD/MUNIC/RODOV
5207,Dirigir sem atenção ou sem os cuidadosindispensáveis à segurança,169,Condutor,Leve,ESTAD/MUNIC/RODOV
